,GP,W,L,PTS,GF,OL,GA,SOW,SOL
Boston Bruins,82,65,12,135,301,5,174,4,3
Carolina Hurricanes,82,52,21,113,262,9,210,4,3
New Jersey Devils,82,52,22,112,289,8,222,2,4
Vegas Golden Knights,82,51,22,111,267,9,225,5,4
Toronto Maple Leafs,82,50,21,111,278,11,220,1,2
Colorado Avalanche,82,51,24,109,274,7,223,6,3
Edmonton Oilers,82,50,23,109,325,9,256,0,4
Dallas Stars,82,47,21,108,281,14,215,4,3
New York Rangers,82,47,22,107,273,13,216,4,3
Los Angeles Kings,82,47,25,104,274,10,254,6,3
Minnesota Wild,82,46,25,103,239,11,219,7,6
Seattle Kraken,82,46,28,100,289,8,252,0,4
Tampa Bay Lightning,82,46,30,98,280,6,252,3,2
Winnipeg Jets,82,46,33,95,246,3,224,1,1
Calgary Flames,82,38,27,93,258,17,247,2,5
New York Islanders,82,42,31,93,242,9,217,1,5
Florida Panthers,82,42,32,92,288,8,272,2,1
Nashville Predators,82,42,32,92,223,8,236,6,2
Buffalo Sabres,82,42,33,91,293,7,297,3,3
Pittsburgh Penguins,82,40,31,91,261,11,263,1,1
Ottawa Senators,82,39,35,86,259,8,270,2,1
Vancouver Canucks,82,38,37,83,270,7,296,6,2
St. Louis Blues,82,37,38,81,260,7,298,3,3
Washington Capitals,82,35,37,80,253,10,261,2,4
Detroit Red Wings,82,35,37,80,237,10,275,3,4
Philadelphia Flyers,82,31,38,75,220,13,276,2,1
Arizona Coyotes,82,28,40,70,225,14,295,3,4
Montreal Canadiens,82,31,45,68,227,6,305,5,2
San Jose Sharks,82,22,44,60,233,16,315,1,6
Chicago Blackhawks,82,26,49,59,202,7,299,2,2
Columbus Blue Jackets,82,25,48,59,213,9,329,1,1
Anaheim Ducks,82,23,47,58,206,12,335,3,3
League Average,82,41,32,91,258,9,258,,
